Week Ending Date,Metric,Category,Waiting Bands,Count
19/11/2023,Age,Over 65 Years,18 To 52 Weeks,866505
19/11/2023,Age,Over 65 Years,Over 52 Weeks,108470
19/11/2023,Age,Over 65 Years,Total,2431055
19/11/2023,Sex,Female,Unknown Clock Start,2590
19/11/2023,Sex,Female,01 To 18 Weeks,2237425
19/11/2023,Sex,Female,18 To 52 Weeks,1513745
19/11/2023,Sex,Female,Over 52 Weeks,202325
19/11/2023,Sex,Female,Total,3956080
19/11/2023,Sex,Male,Unknown Clock Start,1980
19/11/2023,Sex,Male,01 To 18 Weeks,1725630
19/11/2023,Sex,Male,18 To 52 Weeks,1144515
19/11/2023,Sex,Male,Over 52 Weeks,151830
19/11/2023,Sex,Male,Total,3023950
26/11/2023,Age,0-18 Years,Unknown Clock Start,970
26/11/2023,Age,0-18 Years,01 To 18 Weeks,463950
26/11/2023,Age,0-18 Years,18 To 52 Weeks,354165
26/11/2023,Age,0-18 Years,Over 52 Weeks,44345
26/11/2023,Age,0-18 Years,Total,863435
26/11/2023,Age,19-64 Years,Unknown Clock Start,2125
26/11/2023,Age,19-64 Years,01 To 18 Weeks,2272920
26/11/2023,Age,19-64 Years,18 To 52 Weeks,1593880
26/11/2023,Age,19-64 Years,Over 52 Weeks,218335
26/11/2023,Age,19-64 Years,Total,4087255
26/11/2023,Age,Over 65 Years,Unknown Clock Start,1260
26/11/2023,Age,Over 65 Years,01 To 18 Weeks,1455680
26/11/2023,Age,Over 65 Years,18 To 52 Weeks,870895
26/11/2023,Age,Over 65 Years,Over 52 Weeks,106355
26/11/2023,Age,Over 65 Years,Total,2434185
26/11/2023,Sex,Female,Unknown Clock Start,2475
26/11/2023,Sex,Female,01 To 18 Weeks,2248310
26/11/2023,Sex,Female,18 To 52 Weeks,1519930
26/11/2023,Sex,Female,Over 52 Weeks,198615
26/11/2023,Sex,Female,Total,3969335
26/11/2023,Sex,Male,Unknown Clock Start,1825
26/11/2023,Sex,Male,01 To 18 Weeks,1737950
26/11/2023,Sex,Male,18 To 52 Weeks,1149240
26/11/2023,Sex,Male,Over 52 Weeks,149320
26/11/2023,Sex,Male,Total,3038335
03/12/2023,Age,0-18 Years,Unknown Clock Start,990
03/12/2023,Age,0-18 Years,01 To 18 Weeks,460045
03/12/2023,Age,0-18 Years,18 To 52 Weeks,347520
03/12/2023,Age,0-18 Years,Over 52 Weeks,43010
03/12/2023,Age,0-18 Years,Total,851565
03/12/2023,Age,19-64 Years,Unknown Clock Start,2155
03/12/2023,Age,19-64 Years,01 To 18 Weeks,2242495
03/12/2023,Age,19-64 Years,18 To 52 Weeks,1576370
03/12/2023,Age,19-64 Years,Over 52 Weeks,210800
03/12/2023,Age,19-64 Years,Total,4031820
03/12/2023,Age,Over 65 Years,Unknown Clock Start,1195
03/12/2023,Age,Over 65 Years,01 To 18 Weeks,1446230
03/12/2023,Age,Over 65 Years,18 To 52 Weeks,863330
03/12/2023,Age,Over 65 Years,Over 52 Weeks,102930
03/12/2023,Age,Over 65 Years,Total,2413685
03/12/2023,Sex,Female,Unknown Clock Start,2510
03/12/2023,Sex,Female,01 To 18 Weeks,2223070
03/12/2023,Sex,Female,18 To 52 Weeks,1501710
03/12/2023,Sex,Female,Over 52 Weeks,191720
03/12/2023,Sex,Female,Total,3919015
03/12/2023,Sex,Male,Unknown Clock Start,1825
03/12/2023,Sex,Male,01 To 18 Weeks,1723130
03/12/2023,Sex,Male,18 To 52 Weeks,1134785
03/12/2023,Sex,Male,Over 52 Weeks,143960
03/12/2023,Sex,Male,Total,3003700
10/12/2023,Age,0-18 Years,Unknown Clock Start,1015
10/12/2023,Age,0-18 Years,01 To 18 Weeks,466380
10/12/2023,Age,0-18 Years,18 To 52 Weeks,350075
10/12/2023,Age,0-18 Years,Over 52 Weeks,42565
10/12/2023,Age,0-18 Years,Total,860030
10/12/2023,Age,19-64 Years,Unknown Clock Start,2105
10/12/2023,Age,19-64 Years,01 To 18 Weeks,2266660
10/12/2023,Age,19-64 Years,18 To 52 Weeks,1602905
10/12/2023,Age,19-64 Years,Over 52 Weeks,210445
10/12/2023,Age,19-64 Years,Total,4082115
10/12/2023,Age,Over 65 Years,Unknown Clock Start,1150
10/12/2023,Age,Over 65 Years,01 To 18 Weeks,1456070
10/12/2023,Age,Over 65 Years,18 To 52 Weeks,877065
10/12/2023,Age,Over 65 Years,Over 52 Weeks,101805
10/12/2023,Age,Over 65 Years,Total,2436085
10/12/2023,Sex,Female,Unknown Clock Start,2430
10/12/2023,Sex,Female,01 To 18 Weeks,2247205
10/12/2023,Sex,Female,18 To 52 Weeks,1527175
10/12/2023,Sex,Female,Over 52 Weeks,191185
10/12/2023,Sex,Female,Total,3967995
10/12/2023,Sex,Male,Unknown Clock Start,1820
10/12/2023,Sex,Male,01 To 18 Weeks,1741775
10/12/2023,Sex,Male,18 To 52 Weeks,1151995
10/12/2023,Sex,Male,Over 52 Weeks,143275
10/12/2023,Sex,Male,Total,3038865
17/12/2023,Age,0-18 Years,Unknown Clock Start,1135
17/12/2023,Age,0-18 Years,01 To 18 Weeks,462575
17/12/2023,Age,0-18 Years,18 To 52 Weeks,343990
17/12/2023,Age,0-18 Years,Over 52 Weeks,41405
17/12/2023,Age,0-18 Years,Total,849105
17/12/2023,Age,19-64 Years,Unknown Clock Start,2585
17/12/2023,Age,19-64 Years,01 To 18 Weeks,2226990
17/12/2023,Age,19-64 Years,18 To 52 Weeks,1585390
17/12/2023,Age,19-64 Years,Over 52 Weeks,201990
17/12/2023,Age,19-64 Years,Total,4016955
17/12/2023,Age,Over 65 Years,Unknown Clock Start,1385
17/12/2023,Age,Over 65 Years,01 To 18 Weeks,1426855
17/12/2023,Age,Over 65 Years,18 To 52 Weeks,867720
17/12/2023,Age,Over 65 Years,Over 52 Weeks,98105
17/12/2023,Age,Over 65 Years,Total,2394065
17/12/2023,Sex,Female,Unknown Clock Start,2945
17/12/2023,Sex,Female,01 To 18 Weeks,2220840
17/12/2023,Sex,Female,18 To 52 Weeks,1510660
17/12/2023,Sex,Female,Over 52 Weeks,183160
17/12/2023,Sex,Female,Total,3917600
17/12/2023,Sex,Male,Unknown Clock Start,2165
17/12/2023,Sex,Male,01 To 18 Weeks,1723730
17/12/2023,Sex,Male,18 To 52 Weeks,1139610
17/12/2023,Sex,Male,Over 52 Weeks,138000
17/12/2023,Sex,Male,Total,3003505
24/12/2023,Age,0-18 Years,Unknown Clock Start,1155
24/12/2023,Age,0-18 Years,01 To 18 Weeks,469125
24/12/2023,Age,0-18 Years,18 To 52 Weeks,346530
24/12/2023,Age,0-18 Years,Over 52 Weeks,41480
24/12/2023,Age,0-18 Years,Total,858285
24/12/2023,Age,19-64 Years,Unknown Clock Start,2160
24/12/2023,Age,19-64 Years,01 To 18 Weeks,2243675
24/12/2023,Age,19-64 Years,18 To 52 Weeks,1603685
24/12/2023,Age,19-64 Years,Over 52 Weeks,201955
24/12/2023,Age,19-64 Years,Total,4051475
24/12/2023,Age,Over 65 Years,Unknown Clock Start,1250
24/12/2023,Age,Over 65 Years,01 To 18 Weeks,1438745
24/12/2023,Age,Over 65 Years,18 To 52 Weeks,880185
24/12/2023,Age,Over 65 Years,Over 52 Weeks,97370
24/12/2023,Age,Over 65 Years,Total,2417555
24/12/2023,Sex,Female,Unknown Clock Start,2590
24/12/2023,Sex,Female,01 To 18 Weeks,2224940
24/12/2023,Sex,Female,18 To 52 Weeks,1527000
24/12/2023,Sex,Female,Over 52 Weeks,182695
24/12/2023,Sex,Female,Total,3937220
24/12/2023,Sex,Male,Unknown Clock Start,1955
24/12/2023,Sex,Male,01 To 18 Weeks,1729255
24/12/2023,Sex,Male,18 To 52 Weeks,1149485
24/12/2023,Sex,Male,Over 52 Weeks,137470
24/12/2023,Sex,Male,Total,3018160
31/12/2023,Age,0-18 Years,Unknown Clock Start,1020
31/12/2023,Age,0-18 Years,01 To 18 Weeks,465390
31/12/2023,Age,0-18 Years,18 To 52 Weeks,358025
31/12/2023,Age,0-18 Years,Over 52 Weeks,41530
31/12/2023,Age,0-18 Years,Total,865965
31/12/2023,Age,19-64 Years,Unknown Clock Start,1910
31/12/2023,Age,19-64 Years,01 To 18 Weeks,2220080
31/12/2023,Age,19-64 Years,18 To 52 Weeks,1665250
31/12/2023,Age,19-64 Years,Over 52 Weeks,202760
31/12/2023,Age,19-64 Years,Total,4090000
31/12/2023,Age,Over 65 Years,Unknown Clock Start,1065
31/12/2023,Age,Over 65 Years,01 To 18 Weeks,1423850
31/12/2023,Age,Over 65 Years,18 To 52 Weeks,917265
31/12/2023,Age,Over 65 Years,Over 52 Weeks,98110
31/12/2023,Age,Over 65 Years,Total,2440290
31/12/2023,Sex,Female,Unknown Clock Start,2265
31/12/2023,Sex,Female,01 To 18 Weeks,2202125
31/12/2023,Sex,Female,18 To 52 Weeks,1586460
31/12/2023,Sex,Female,Over 52 Weeks,183340
31/12/2023,Sex,Female,Total,3974190
31/12/2023,Sex,Male,Unknown Clock Start,1725
31/12/2023,Sex,Male,01 To 18 Weeks,1714395
31/12/2023,Sex,Male,18 To 52 Weeks,1194380
31/12/2023,Sex,Male,Over 52 Weeks,138330
31/12/2023,Sex,Male,Total,3048830
07/01/2024,Age,0-18 Years,Unknown Clock Start,990
07/01/2024,Age,0-18 Years,01 To 18 Weeks,467230
07/01/2024,Age,0-18 Years,18 To 52 Weeks,359095
07/01/2024,Age,0-18 Years,Over 52 Weeks,42200
07/01/2024,Age,0-18 Years,Total,869515
07/01/2024,Age,19-64 Years,Unknown Clock Start,2340
07/01/2024,Age,19-64 Years,01 To 18 Weeks,2196605
07/01/2024,Age,19-64 Years,18 To 52 Weeks,1667285
07/01/2024,Age,19-64 Years,Over 52 Weeks,202915
07/01/2024,Age,19-64 Years,Total,4069150
07/01/2024,Age,Over 65 Years,Unknown Clock Start,1295
07/01/2024,Age,Over 65 Years,01 To 18 Weeks,1409790
07/01/2024,Age,Over 65 Years,18 To 52 Weeks,921405
07/01/2024,Age,Over 65 Years,Over 52 Weeks,98200
07/01/2024,Age,Over 65 Years,Total,2430690
07/01/2024,Sex,Female,Unknown Clock Start,2680
07/01/2024,Sex,Female,01 To 18 Weeks,2178300
07/01/2024,Sex,Female,18 To 52 Weeks,1589585
07/01/2024,Sex,Female,Over 52 Weeks,183040
07/01/2024,Sex,Female,Total,3953610
07/01/2024,Sex,Male,Unknown Clock Start,1940
07/01/2024,Sex,Male,01 To 18 Weeks,1698845
07/01/2024,Sex,Male,18 To 52 Weeks,1196515
07/01/2024,Sex,Male,Over 52 Weeks,138925
07/01/2024,Sex,Male,Total,3036230
14/01/2024,Age,0-18 Years,Unknown Clock Start,1065
14/01/2024,Age,0-18 Years,01 To 18 Weeks,458230
14/01/2024,Age,0-18 Years,18 To 52 Weeks,349285
14/01/2024,Age,0-18 Years,Over 52 Weeks,40935
14/01/2024,Age,0-18 Years,Total,849515
14/01/2024,Age,19-64 Years,Unknown Clock Start,2750
14/01/2024,Age,19-64 Years,01 To 18 Weeks,2140315
14/01/2024,Age,19-64 Years,18 To 52 Weeks,1618895
14/01/2024,Age,19-64 Years,Over 52 Weeks,193295
14/01/2024,Age,19-64 Years,Total,3955260
14/01/2024,Age,Over 65 Years,Unknown Clock Start,1615
14/01/2024,Age,Over 65 Years,01 To 18 Weeks,1371725
14/01/2024,Age,Over 65 Years,18 To 52 Weeks,899920
14/01/2024,Age,Over 65 Years,Over 52 Weeks,93990
14/01/2024,Age,Over 65 Years,Total,2367255
14/01/2024,Sex,Female,Unknown Clock Start,3075
14/01/2024,Sex,Female,01 To 18 Weeks,2137275
14/01/2024,Sex,Female,18 To 52 Weeks,1546995
14/01/2024,Sex,Female,Over 52 Weeks,174395
14/01/2024,Sex,Female,Total,3861740
14/01/2024,Sex,Male,Unknown Clock Start,2180
14/01/2024,Sex,Male,01 To 18 Weeks,1668965
14/01/2024,Sex,Male,18 To 52 Weeks,1165855
14/01/2024,Sex,Male,Over 52 Weeks,132625
14/01/2024,Sex,Male,Total,2969620
21/01/2024,Age,0-18 Years,Unknown Clock Start,1095
21/01/2024,Age,0-18 Years,01 To 18 Weeks,472225
21/01/2024,Age,0-18 Years,18 To 52 Weeks,354235
21/01/2024,Age,0-18 Years,Over 52 Weeks,41890
21/01/2024,Age,0-18 Years,Total,869450
21/01/2024,Age,19-64 Years,Unknown Clock Start,6395
21/01/2024,Age,19-64 Years,01 To 18 Weeks,2211010
21/01/2024,Age,19-64 Years,18 To 52 Weeks,1675445
21/01/2024,Age,19-64 Years,Over 52 Weeks,199460
21/01/2024,Age,19-64 Years,Total,4092310
21/01/2024,Age,Over 65 Years,Unknown Clock Start,2610
21/01/2024,Age,Over 65 Years,01 To 18 Weeks,1408145
21/01/2024,Age,Over 65 Years,18 To 52 Weeks,928305
21/01/2024,Age,Over 65 Years,Over 52 Weeks,96000
21/01/2024,Age,Over 65 Years,Total,2435065
21/01/2024,Sex,Female,Unknown Clock Start,5880
21/01/2024,Sex,Female,01 To 18 Weeks,2190155
21/01/2024,Sex,Female,18 To 52 Weeks,1596120
21/01/2024,Sex,Female,Over 52 Weeks,178935
21/01/2024,Sex,Female,Total,3971090
21/01/2024,Sex,Male,Unknown Clock Start,4190
21/01/2024,Sex,Male,01 To 18 Weeks,1712090
21/01/2024,Sex,Male,18 To 52 Weeks,1201350
21/01/2024,Sex,Male,Over 52 Weeks,136920
21/01/2024,Sex,Male,Total,3054550
28/01/2024,Age,0-18 Years,Unknown Clock Start,1075
28/01/2024,Age,0-18 Years,01 To 18 Weeks,473150
28/01/2024,Age,0-18 Years,18 To 52 Weeks,350155
28/01/2024,Age,0-18 Years,Over 52 Weeks,41785
28/01/2024,Age,0-18 Years,Total,866165
28/01/2024,Age,19-64 Years,Unknown Clock Start,2460
28/01/2024,Age,19-64 Years,01 To 18 Weeks,2215855
28/01/2024,Age,19-64 Years,18 To 52 Weeks,1669985
28/01/2024,Age,19-64 Years,Over 52 Weeks,196365
28/01/2024,Age,19-64 Years,Total,4084665
28/01/2024,Age,Over 65 Years,Unknown Clock Start,1455
28/01/2024,Age,Over 65 Years,01 To 18 Weeks,1406120
28/01/2024,Age,Over 65 Years,18 To 52 Weeks,924965
28/01/2024,Age,Over 65 Years,Over 52 Weeks,94290
28/01/2024,Age,Over 65 Years,Total,2426830
28/01/2024,Sex,Female,Unknown Clock Start,2850
28/01/2024,Sex,Female,01 To 18 Weeks,2193375
28/01/2024,Sex,Female,18 To 52 Weeks,1590075
28/01/2024,Sex,Female,Over 52 Weeks,175915
28/01/2024,Sex,Female,Total,3962210
28/01/2024,Sex,Male,Unknown Clock Start,2130
28/01/2024,Sex,Male,01 To 18 Weeks,1715835
28/01/2024,Sex,Male,18 To 52 Weeks,1195450
28/01/2024,Sex,Male,Over 52 Weeks,134865
28/01/2024,Sex,Male,Total,3048280
04/02/2024,Age,0-18 Years,Unknown Clock Start,1020
04/02/2024,Age,0-18 Years,01 To 18 Weeks,467125
04/02/2024,Age,0-18 Years,18 To 52 Weeks,343435
04/02/2024,Age,0-18 Years,Over 52 Weeks,44355
04/02/2024,Age,0-18 Years,Total,855935
04/02/2024,Age,19-64 Years,Unknown Clock Start,2820
04/02/2024,Age,19-64 Years,01 To 18 Weeks,2201005
04/02/2024,Age,19-64 Years,18 To 52 Weeks,1652245
04/02/2024,Age,19-64 Years,Over 52 Weeks,192525
04/02/2024,Age,19-64 Years,Total,4048590
04/02/2024,Age,Over 65 Years,Unknown Clock Start,1545
04/02/2024,Age,Over 65 Years,01 To 18 Weeks,1395190
04/02/2024,Age,Over 65 Years,18 To 52 Weeks,917255
04/02/2024,Age,Over 65 Years,Over 52 Weeks,92515
04/02/2024,Age,Over 65 Years,Total,2406505
04/02/2024,Sex,Female,Unknown Clock Start,3140
04/02/2024,Sex,Female,01 To 18 Weeks,2173965
04/02/2024,Sex,Female,18 To 52 Weeks,1570140
04/02/2024,Sex,Female,Over 52 Weeks,173155
04/02/2024,Sex,Female,Total,3920400
04/02/2024,Sex,Male,Unknown Clock Start,2245
04/02/2024,Sex,Male,01 To 18 Weeks,1705455
04/02/2024,Sex,Male,18 To 52 Weeks,1183675
04/02/2024,Sex,Male,Over 52 Weeks,134355
04/02/2024,Sex,Male,Total,3025735
11/02/2024,Age,0-18 Years,Unknown Clock Start,1145
11/02/2024,Age,0-18 Years,01 To 18 Weeks,468150
11/02/2024,Age,0-18 Years,18 To 52 Weeks,334265
11/02/2024,Age,0-18 Years,Over 52 Weeks,38240
11/02/2024,Age,0-18 Years,Total,841795
11/02/2024,Age,19-64 Years,Unknown Clock Start,2345
11/02/2024,Age,19-64 Years,01 To 18 Weeks,2208240
11/02/2024,Age,19-64 Years,18 To 52 Weeks,1651025
11/02/2024,Age,19-64 Years,Over 52 Weeks,190655
11/02/2024,Age,19-64 Years,Total,4052265
11/02/2024,Age,Over 65 Years,Unknown Clock Start,1230
11/02/2024,Age,Over 65 Years,01 To 18 Weeks,1384775
11/02/2024,Age,Over 65 Years,18 To 52 Weeks,914390
11/02/2024,Age,Over 65 Years,Over 52 Weeks,91005
11/02/2024,Age,Over 65 Years,Total,2391400
11/02/2024,Sex,Female,Unknown Clock Start,2680
11/02/2024,Sex,Female,01 To 18 Weeks,2174800
11/02/2024,Sex,Female,18 To 52 Weeks,1567020
11/02/2024,Sex,Female,Over 52 Weeks,169395
11/02/2024,Sex,Female,Total,3913895
11/02/2024,Sex,Male,Unknown Clock Start,2025
11/02/2024,Sex,Male,01 To 18 Weeks,1702295
11/02/2024,Sex,Male,18 To 52 Weeks,1174240
11/02/2024,Sex,Male,Over 52 Weeks,128560
11/02/2024,Sex,Male,Total,3007120
18/02/2024,Age,0-18 Years,Unknown Clock Start,1210
18/02/2024,Age,0-18 Years,01 To 18 Weeks,467115
18/02/2024,Age,0-18 Years,18 To 52 Weeks,331185
18/02/2024,Age,0-18 Years,Over 52 Weeks,37390
18/02/2024,Age,0-18 Years,Total,836895
18/02/2024,Age,19-64 Years,Unknown Clock Start,2720
18/02/2024,Age,19-64 Years,01 To 18 Weeks,2205230
18/02/2024,Age,19-64 Years,18 To 52 Weeks,1657135
18/02/2024,Age,19-64 Years,Over 52 Weeks,189885
18/02/2024,Age,19-64 Years,Total,4054975
18/02/2024,Age,Over 65 Years,Unknown Clock Start,1560
18/02/2024,Age,Over 65 Years,01 To 18 Weeks,1396755
18/02/2024,Age,Over 65 Years,18 To 52 Weeks,918380
18/02/2024,Age,Over 65 Years,Over 52 Weeks,90305
18/02/2024,Age,Over 65 Years,Total,2407005
18/02/2024,Sex,Female,Unknown Clock Start,3160
18/02/2024,Sex,Female,01 To 18 Weeks,2180015
18/02/2024,Sex,Female,18 To 52 Weeks,1572290
18/02/2024,Sex,Female,Over 52 Weeks,168125
18/02/2024,Sex,Female,Total,3923590
18/02/2024,Sex,Male,Unknown Clock Start,2330
18/02/2024,Sex,Male,01 To 18 Weeks,1706280
18/02/2024,Sex,Male,18 To 52 Weeks,1176405
18/02/2024,Sex,Male,Over 52 Weeks,127340
18/02/2024,Sex,Male,Total,3012350
25/02/2024,Age,0-18 Years,Unknown Clock Start,1200
25/02/2024,Age,0-18 Years,01 To 18 Weeks,467090
25/02/2024,Age,0-18 Years,18 To 52 Weeks,328175
25/02/2024,Age,0-18 Years,Over 52 Weeks,37360
25/02/2024,Age,0-18 Years,Total,833830
25/02/2024,Age,19-64 Years,Unknown Clock Start,2820
25/02/2024,Age,19-64 Years,01 To 18 Weeks,2220695
25/02/2024,Age,19-64 Years,18 To 52 Weeks,1660180
25/02/2024,Age,19-64 Years,Over 52 Weeks,188060
25/02/2024,Age,19-64 Years,Total,4071755
25/02/2024,Age,Over 65 Years,Unknown Clock Start,1530
25/02/2024,Age,Over 65 Years,01 To 18 Weeks,1402640
25/02/2024,Age,Over 65 Years,18 To 52 Weeks,921220
25/02/2024,Age,Over 65 Years,Over 52 Weeks,89845
25/02/2024,Age,Over 65 Years,Total,2415240
25/02/2024,Sex,Female,Unknown Clock Start,3195
25/02/2024,Sex,Female,01 To 18 Weeks,2193680
25/02/2024,Sex,Female,18 To 52 Weeks,1575425
25/02/2024,Sex,Female,Over 52 Weeks,166760
25/02/2024,Sex,Female,Total,3939060
25/02/2024,Sex,Male,Unknown Clock Start,2345
25/02/2024,Sex,Male,01 To 18 Weeks,1715695
25/02/2024,Sex,Male,18 To 52 Weeks,1178940
25/02/2024,Sex,Male,Over 52 Weeks,126450
25/02/2024,Sex,Male,Total,3023430
03/03/2024,Age,0-18 Years,Unknown Clock Start,1200
03/03/2024,Age,0-18 Years,01 To 18 Weeks,464580
03/03/2024,Age,0-18 Years,18 To 52 Weeks,321760
03/03/2024,Age,0-18 Years,Over 52 Weeks,36705
03/03/2024,Age,0-18 Years,Total,824245
03/03/2024,Age,19-64 Years,Unknown Clock Start,3085
03/03/2024,Age,19-64 Years,01 To 18 Weeks,2212695
03/03/2024,Age,19-64 Years,18 To 52 Weeks,1648115
03/03/2024,Age,19-64 Years,Over 52 Weeks,187475
03/03/2024,Age,19-64 Years,Total,4051370
03/03/2024,Age,Over 65 Years,Unknown Clock Start,1645
03/03/2024,Age,Over 65 Years,01 To 18 Weeks,1392045
03/03/2024,Age,Over 65 Years,18 To 52 Weeks,913580
03/03/2024,Age,Over 65 Years,Over 52 Weeks,89510
03/03/2024,Age,Over 65 Years,Total,2396780
03/03/2024,Sex,Female,Unknown Clock Start,3345
03/03/2024,Sex,Female,01 To 18 Weeks,2183645
03/03/2024,Sex,Female,18 To 52 Weeks,1561945
03/03/2024,Sex,Female,Over 52 Weeks,165670
03/03/2024,Sex,Female,Total,3914605
03/03/2024,Sex,Male,Unknown Clock Start,2585
03/03/2024,Sex,Male,01 To 18 Weeks,1703785
03/03/2024,Sex,Male,18 To 52 Weeks,1167260
03/03/2024,Sex,Male,Over 52 Weeks,125260
03/03/2024,Sex,Male,Total,2998895
10/03/2024,Age,0-18 Years,Unknown Clock Start,1330
10/03/2024,Age,0-18 Years,01 To 18 Weeks,469465
10/03/2024,Age,0-18 Years,18 To 52 Weeks,320455
10/03/2024,Age,0-18 Years,Over 52 Weeks,37220
10/03/2024,Age,0-18 Years,Total,828475
10/03/2024,Age,19-64 Years,Unknown Clock Start,1805
10/03/2024,Age,19-64 Years,01 To 18 Weeks,2237970
10/03/2024,Age,19-64 Years,18 To 52 Weeks,1649410
10/03/2024,Age,19-64 Years,Over 52 Weeks,186705
10/03/2024,Age,19-64 Years,Total,4075890
10/03/2024,Age,Over 65 Years,Unknown Clock Start,900
10/03/2024,Age,Over 65 Years,01 To 18 Weeks,1407810
10/03/2024,Age,Over 65 Years,18 To 52 Weeks,915430
10/03/2024,Age,Over 65 Years,Over 52 Weeks,88390
10/03/2024,Age,Over 65 Years,Total,2412530
10/03/2024,Sex,Female,Unknown Clock Start,2185
10/03/2024,Sex,Female,01 To 18 Weeks,2212320
10/03/2024,Sex,Female,18 To 52 Weeks,1562865
10/03/2024,Sex,Female,Over 52 Weeks,164945
10/03/2024,Sex,Female,Total,3942315
10/03/2024,Sex,Male,Unknown Clock Start,1870
10/03/2024,Sex,Male,01 To 18 Weeks,1725455
10/03/2024,Sex,Male,18 To 52 Weeks,1169560
10/03/2024,Sex,Male,Over 52 Weeks,124545
10/03/2024,Sex,Male,Total,3021430
17/03/2024,Age,0-18 Years,Unknown Clock Start,1225
17/03/2024,Age,0-18 Years,01 To 18 Weeks,472050
17/03/2024,Age,0-18 Years,18 To 52 Weeks,320060
17/03/2024,Age,0-18 Years,Over 52 Weeks,37370
17/03/2024,Age,0-18 Years,Total,830700
17/03/2024,Age,19-64 Years,Unknown Clock Start,2870
17/03/2024,Age,19-64 Years,01 To 18 Weeks,2242330
17/03/2024,Age,19-64 Years,18 To 52 Weeks,1649240
17/03/2024,Age,19-64 Years,Over 52 Weeks,185190
17/03/2024,Age,19-64 Years,Total,4079630
17/03/2024,Age,Over 65 Years,Unknown Clock Start,1525
17/03/2024,Age,Over 65 Years,01 To 18 Weeks,1407835
17/03/2024,Age,Over 65 Years,18 To 52 Weeks,915360
17/03/2024,Age,Over 65 Years,Over 52 Weeks,87590
17/03/2024,Age,Over 65 Years,Total,2412315
17/03/2024,Sex,Female,Unknown Clock Start,3240
17/03/2024,Sex,Female,01 To 18 Weeks,2217320
17/03/2024,Sex,Female,18 To 52 Weeks,1563100
17/03/2024,Sex,Female,Over 52 Weeks,163955
17/03/2024,Sex,Female,Total,3947610
17/03/2024,Sex,Male,Unknown Clock Start,2380
17/03/2024,Sex,Male,01 To 18 Weeks,1727380
17/03/2024,Sex,Male,18 To 52 Weeks,1170110
17/03/2024,Sex,Male,Over 52 Weeks,123200
17/03/2024,Sex,Male,Total,3023065
24/03/2024,Age,0-18 Years,Unknown Clock Start,1145
24/03/2024,Age,0-18 Years,01 To 18 Weeks,471510
24/03/2024,Age,0-18 Years,18 To 52 Weeks,317095
24/03/2024,Age,0-18 Years,Over 52 Weeks,37050
24/03/2024,Age,0-18 Years,Total,826800
24/03/2024,Age,19-64 Years,Unknown Clock Start,2905
24/03/2024,Age,19-64 Years,01 To 18 Weeks,2243190
24/03/2024,Age,19-64 Years,18 To 52 Weeks,1648745
24/03/2024,Age,19-64 Years,Over 52 Weeks,184985
24/03/2024,Age,19-64 Years,Total,4079820
24/03/2024,Age,Over 65 Years,Unknown Clock Start,1420
24/03/2024,Age,Over 65 Years,01 To 18 Weeks,1407740
24/03/2024,Age,Over 65 Years,18 To 52 Weeks,915040
24/03/2024,Age,Over 65 Years,Over 52 Weeks,87445
24/03/2024,Age,Over 65 Years,Total,2411645
24/03/2024,Sex,Female,Unknown Clock Start,3125
24/03/2024,Sex,Female,01 To 18 Weeks,2217020
24/03/2024,Sex,Female,18 To 52 Weeks,1561995
24/03/2024,Sex,Female,Over 52 Weeks,163940
24/03/2024,Sex,Female,Total,3946080
24/03/2024,Sex,Male,Unknown Clock Start,2325
24/03/2024,Sex,Male,01 To 18 Weeks,1727995
24/03/2024,Sex,Male,18 To 52 Weeks,1168305
24/03/2024,Sex,Male,Over 52 Weeks,122380
24/03/2024,Sex,Male,Total,3021005
31/03/2024,Age,0-18 Years,Unknown Clock Start,1015
31/03/2024,Age,0-18 Years,01 To 18 Weeks,469670
31/03/2024,Age,0-18 Years,18 To 52 Weeks,321360
31/03/2024,Age,0-18 Years,Over 52 Weeks,38145
31/03/2024,Age,0-18 Years,Total,830190
31/03/2024,Age,19-64 Years,Unknown Clock Start,2245
31/03/2024,Age,19-64 Years,01 To 18 Weeks,2228980
31/03/2024,Age,19-64 Years,18 To 52 Weeks,1665680
31/03/2024,Age,19-64 Years,Over 52 Weeks,189060
31/03/2024,Age,19-64 Years,Total,4085965
31/03/2024,Age,Over 65 Years,Unknown Clock Start,1090
31/03/2024,Age,Over 65 Years,01 To 18 Weeks,1399705
31/03/2024,Age,Over 65 Years,18 To 52 Weeks,925080
31/03/2024,Age,Over 65 Years,Over 52 Weeks,89680
31/03/2024,Age,Over 65 Years,Total,2415555
31/03/2024,Sex,Female,Unknown Clock Start,2540
31/03/2024,Sex,Female,01 To 18 Weeks,2205525
31/03/2024,Sex,Female,18 To 52 Weeks,1579390
31/03/2024,Sex,Female,Over 52 Weeks,167800
31/03/2024,Sex,Female,Total,3955260
31/03/2024,Sex,Male,Unknown Clock Start,1790
31/03/2024,Sex,Male,01 To 18 Weeks,1717805
31/03/2024,Sex,Male,18 To 52 Weeks,1181960
31/03/2024,Sex,Male,Over 52 Weeks,125295
31/03/2024,Sex,Male,Total,3026855
07/04/2024,Age,0-18 Years,Unknown Clock Start,1130
07/04/2024,Age,0-18 Years,01 To 18 Weeks,467625
07/04/2024,Age,0-18 Years,18 To 52 Weeks,324420
