Week Ending Date,Metric,Category,Waiting Bands,Count
24/10/2021,Sex,Male,Unknown Clock Start,4280
24/10/2021,Sex,Male,01 To 18 Weeks,1436820
24/10/2021,Sex,Male,18 To 52 Weeks,672770
24/10/2021,Sex,Male,Over 52 Weeks,130635
24/10/2021,Sex,Male,Total,2244500
31/10/2021,Age,0-18 Years,Unknown Clock Start,700
31/10/2021,Age,0-18 Years,01 To 18 Weeks,398575
31/10/2021,Age,0-18 Years,18 To 52 Weeks,177405
31/10/2021,Age,0-18 Years,Over 52 Weeks,26295
31/10/2021,Age,0-18 Years,Total,602970
31/10/2021,Age,19-64 Years,Unknown Clock Start,5665
31/10/2021,Age,19-64 Years,01 To 18 Weeks,1880100
31/10/2021,Age,19-64 Years,18 To 52 Weeks,962660
31/10/2021,Age,19-64 Years,Over 52 Weeks,175440
31/10/2021,Age,19-64 Years,Total,3023865
31/10/2021,Age,Over 65 Years,Unknown Clock Start,3470
31/10/2021,Age,Over 65 Years,01 To 18 Weeks,1199150
31/10/2021,Age,Over 65 Years,18 To 52 Weeks,518140
31/10/2021,Age,Over 65 Years,Over 52 Weeks,95385
31/10/2021,Age,Over 65 Years,Total,1816140
31/10/2021,Sex,Female,Unknown Clock Start,5425
31/10/2021,Sex,Female,01 To 18 Weeks,1924270
31/10/2021,Sex,Female,18 To 52 Weeks,907015
31/10/2021,Sex,Female,Over 52 Weeks,156530
31/10/2021,Sex,Female,Total,2993240
31/10/2021,Sex,Male,Unknown Clock Start,4415
31/10/2021,Sex,Male,01 To 18 Weeks,1475980
31/10/2021,Sex,Male,18 To 52 Weeks,693565
31/10/2021,Sex,Male,Over 52 Weeks,132105
31/10/2021,Sex,Male,Total,2306065
07/11/2021,Age,0-18 Years,Unknown Clock Start,990
07/11/2021,Age,0-18 Years,01 To 18 Weeks,395615
07/11/2021,Age,0-18 Years,18 To 52 Weeks,178820
07/11/2021,Age,0-18 Years,Over 52 Weeks,26010
07/11/2021,Age,0-18 Years,Total,601435
07/11/2021,Age,19-64 Years,Unknown Clock Start,5200
07/11/2021,Age,19-64 Years,01 To 18 Weeks,1856910
07/11/2021,Age,19-64 Years,18 To 52 Weeks,957890
07/11/2021,Age,19-64 Years,Over 52 Weeks,174420
