Code,Name,Geography,Metric,Category,Waiting Bands,Count
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NHS ACUTE,Sex,Female,18 To 52 Weeks,2640
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NHS ACUTE,Sex,Female,Over 52 Weeks,745
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NHS ACUTE,Sex,Female,Total,7025
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NHS ACUTE,Sex,Male,01 To 18 Weeks,500
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NHS ACUTE,Sex,Male,18 To 52 Weeks,165
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NHS ACUTE,Sex,Male,Total,660
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Age,0-18 Years,01 To 18 Weeks,4275
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Age,0-18 Years,18 To 52 Weeks,3560
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Age,0-18 Years,Over 52 Weeks,225
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Age,0-18 Years,Total,8060
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Age,19-64 Years,01 To 18 Weeks,27900
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Age,19-64 Years,18 To 52 Weeks,22500
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Age,19-64 Years,Over 52 Weeks,1085
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Age,19-64 Years,Total,51490
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Age,Over 65 Years,01 To 18 Weeks,14935
