Code,Name,Geography,Metric,Category,Waiting Bands,Count
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,E: White and Black African,01 To 18 Weeks,345
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,E: White and Black African,18 To 52 Weeks,190
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,E: White and Black African,Over 52 Weeks,*
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,E: White and Black African,Total,535
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,F: White and Asian,01 To 18 Weeks,420
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,F: White and Asian,18 To 52 Weeks,250
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,F: White and Asian,Over 52 Weeks,*
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,F: White and Asian,Total,675
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,G: Any other mixed background,01 To 18 Weeks,1250
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,G: Any other mixed background,18 To 52 Weeks,725
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,G: Any other mixed background,Over 52 Weeks,15
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,G: Any other mixed background,Total,1990
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,H: Indian,01 To 18 Weeks,3460
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,H: Indian,18 To 52 Weeks,1975
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,H: Indian,Over 52 Weeks,45
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,H: Indian,Total,5480
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,J: Pakistani,01 To 18 Weeks,1280
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,J: Pakistani,18 To 52 Weeks,765
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,J: Pakistani,Over 52 Weeks,25
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,J: Pakistani,Total,2070
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,K: Bangladeshi,01 To 18 Weeks,685
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,K: Bangladeshi,18 To 52 Weeks,370
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,K: Bangladeshi,Over 52 Weeks,*
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,K: Bangladeshi,Total,1060
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,L: Any other Asian background,01 To 18 Weeks,5005
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,L: Any other Asian background,18 To 52 Weeks,2915
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,L: Any other Asian background,Over 52 Weeks,60
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,L: Any other Asian background,Total,7980
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,M: Caribbean,01 To 18 Weeks,2610
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,M: Caribbean,18 To 52 Weeks,1500
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,M: Caribbean,Over 52 Weeks,35
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,M: Caribbean,Total,4145
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,N: African,01 To 18 Weeks,3730
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,N: African,18 To 52 Weeks,2065
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,N: African,Over 52 Weeks,45
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,N: African,Total,5840
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,P: Any other Black background,01 To 18 Weeks,1900
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,P: Any other Black background,18 To 52 Weeks,1045
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,P: Any other Black background,Over 52 Weeks,10
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,P: Any other Black background,Total,2955
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,R: Chinese,01 To 18 Weeks,545
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,R: Chinese,18 To 52 Weeks,295
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,R: Chinese,Over 52 Weeks,10
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,R: Chinese,Total,850
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,3830
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,2020
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,S: Any other ethnic group,Over 52 Weeks,55
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,S: Any other ethnic group,Total,5905
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,Z: Not stated,01 To 18 Weeks,3625
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,Z: Not stated,18 To 52 Weeks,2005
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,Z: Not stated,Over 52 Weeks,55
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,Z: Not stated,Total,5685
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,1,01 To 18 Weeks,2915
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,1,18 To 52 Weeks,1550
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,1,Over 52 Weeks,30
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,1,Total,4500
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,10,01 To 18 Weeks,1670
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,10,18 To 52 Weeks,945
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,10,Over 52 Weeks,20
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,10,Total,2635
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,2,01 To 18 Weeks,9715
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,2,18 To 52 Weeks,5345
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,2,Over 52 Weeks,105
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,2,Total,15165
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,3,01 To 18 Weeks,9265
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,3,18 To 52 Weeks,5105
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,3,Over 52 Weeks,115
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,3,Total,14485
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,4,01 To 18 Weeks,9505
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,4,18 To 52 Weeks,5275
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,4,Over 52 Weeks,140
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,4,Total,14925
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,5,01 To 18 Weeks,7315
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,5,18 To 52 Weeks,4080
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,5,Over 52 Weeks,80
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,5,Total,11475
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,6,01 To 18 Weeks,6310
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,6,18 To 52 Weeks,3435
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,6,Over 52 Weeks,60
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,6,Total,9810
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,7,01 To 18 Weeks,5200
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,7,18 To 52 Weeks,2880
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,7,Over 52 Weeks,85
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,7,Total,8165
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,8,01 To 18 Weeks,4540
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,8,18 To 52 Weeks,2545
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,8,Over 52 Weeks,55
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,8,Total,7145
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,9,01 To 18 Weeks,3000
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,9,18 To 52 Weeks,1645
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,9,Over 52 Weeks,35
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,IMD,9,Total,4680
