Code,Name,Geography,Metric,Category,Waiting Bands,Count
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,7,Over 52 Weeks,105
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,7,Total,7645
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,8,01 To 18 Weeks,4890
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,8,18 To 52 Weeks,2335
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,8,Over 52 Weeks,90
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,8,Total,7320
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,9,01 To 18 Weeks,4690
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,9,18 To 52 Weeks,2240
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,9,Over 52 Weeks,80
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,9,Total,7010
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,Sex,Female,01 To 18 Weeks,15725
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,Sex,Female,18 To 52 Weeks,8500
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,Sex,Female,Over 52 Weeks,265
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,Sex,Female,Total,24490
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,Sex,Male,01 To 18 Weeks,10105
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,Sex,Male,18 To 52 Weeks,5055
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,Sex,Male,Over 52 Weeks,175
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,Sex,Male,Total,15330
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Age,0-18 Years,01 To 18 Weeks,2830
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Age,0-18 Years,18 To 52 Weeks,1580
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Age,0-18 Years,Over 52 Weeks,80
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Age,0-18 Years,Total,4490
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Age,19-64 Years,01 To 18 Weeks,14730
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Age,19-64 Years,18 To 52 Weeks,11765
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Age,19-64 Years,Over 52 Weeks,1065
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Age,19-64 Years,Total,27560
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Age,Over 65 Years,01 To 18 Weeks,10445
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Age,Over 65 Years,18 To 52 Weeks,6690
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Age,Over 65 Years,Over 52 Weeks,460
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Age,Over 65 Years,Total,17595
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,99: Not known,01 To 18 Weeks,1995
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,99: Not known,18 To 52 Weeks,1485
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,99: Not known,Over 52 Weeks,125
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,99: Not known,Total,3605
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,A: British,01 To 18 Weeks,22155
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,A: British,18 To 52 Weeks,15870
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,A: British,Over 52 Weeks,1270
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,A: British,Total,39295
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,B: Irish,01 To 18 Weeks,110
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,B: Irish,18 To 52 Weeks,60
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,B: Irish,Over 52 Weeks,10
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,B: Irish,Total,180
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,C: Any other white background,01 To 18 Weeks,1215
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,C: Any other white background,18 To 52 Weeks,865
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,C: Any other white background,Over 52 Weeks,65
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,C: Any other white background,Total,2150
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,80
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,55
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,*
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,D: White and Black Caribbean,Total,140
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,E: White and Black African,01 To 18 Weeks,45
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,E: White and Black African,18 To 52 Weeks,30
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,E: White and Black African,Over 52 Weeks,*
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,E: White and Black African,Total,75
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,F: White and Asian,01 To 18 Weeks,70
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,F: White and Asian,18 To 52 Weeks,40
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,F: White and Asian,Over 52 Weeks,*
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,F: White and Asian,Total,115
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,G: Any other mixed background,01 To 18 Weeks,130
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,G: Any other mixed background,18 To 52 Weeks,90
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,G: Any other mixed background,Over 52 Weeks,*
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,G: Any other mixed background,Total,225
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,H: Indian,01 To 18 Weeks,325
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,H: Indian,18 To 52 Weeks,215
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,H: Indian,Over 52 Weeks,10
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,H: Indian,Total,550
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,J: Pakistani,01 To 18 Weeks,70
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,J: Pakistani,18 To 52 Weeks,35
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,J: Pakistani,Over 52 Weeks,*
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,J: Pakistani,Total,110
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,K: Bangladeshi,01 To 18 Weeks,45
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,K: Bangladeshi,18 To 52 Weeks,35
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,K: Bangladeshi,Over 52 Weeks,*
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,K: Bangladeshi,Total,85
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,L: Any other Asian background,01 To 18 Weeks,270
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,L: Any other Asian background,18 To 52 Weeks,205
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,L: Any other Asian background,Over 52 Weeks,15
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,L: Any other Asian background,Total,490
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,M: Caribbean,01 To 18 Weeks,60
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,M: Caribbean,18 To 52 Weeks,50
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,M: Caribbean,Over 52 Weeks,10
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,M: Caribbean,Total,115
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,N: African,01 To 18 Weeks,180
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,N: African,18 To 52 Weeks,140
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,N: African,Over 52 Weeks,10
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,N: African,Total,335
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,P: Any other Black background,01 To 18 Weeks,80
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,P: Any other Black background,18 To 52 Weeks,55
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,P: Any other Black background,Over 52 Weeks,*
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,P: Any other Black background,Total,140
