Code,Name,Geography,Metric,Category,Waiting Bands,Count
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,3,18 To 52 Weeks,1605
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,3,Over 52 Weeks,110
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,3,Total,4125
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,4,01 To 18 Weeks,2140
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,4,18 To 52 Weeks,1430
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,4,Over 52 Weeks,120
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,4,Total,3690
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,5,01 To 18 Weeks,2375
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,5,18 To 52 Weeks,1425
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,5,Over 52 Weeks,90
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,5,Total,3890
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,6,01 To 18 Weeks,1910
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,6,18 To 52 Weeks,1145
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,6,Over 52 Weeks,105
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,6,Total,3155
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,7,01 To 18 Weeks,3240
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,7,18 To 52 Weeks,1930
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,7,Over 52 Weeks,170
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,7,Total,5340
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,8,01 To 18 Weeks,1795
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,8,18 To 52 Weeks,1035
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,8,Over 52 Weeks,85
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ACUTE,IMD,8,Total,2915
