Code,Name,Geography,Metric,Category,Waiting Bands,Count
ENG,ENGLAND,ENGLAND,IMD,2,Over 52 Weeks,21200
ENG,ENGLAND,ENGLAND,IMD,2,Total,753460
ENG,ENGLAND,ENGLAND,IMD,3,Unknown Clock Start,555
ENG,ENGLAND,ENGLAND,IMD,3,01 To 18 Weeks,450260
ENG,ENGLAND,ENGLAND,IMD,3,18 To 52 Weeks,278660
ENG,ENGLAND,ENGLAND,IMD,3,Over 52 Weeks,21295
ENG,ENGLAND,ENGLAND,IMD,3,Total,750765
ENG,ENGLAND,ENGLAND,IMD,4,Unknown Clock Start,735
ENG,ENGLAND,ENGLAND,IMD,4,01 To 18 Weeks,444390
ENG,ENGLAND,ENGLAND,IMD,4,18 To 52 Weeks,275775
ENG,ENGLAND,ENGLAND,IMD,4,Over 52 Weeks,20825
ENG,ENGLAND,ENGLAND,IMD,4,Total,741720
ENG,ENGLAND,ENGLAND,IMD,5,Unknown Clock Start,720
ENG,ENGLAND,ENGLAND,IMD,5,01 To 18 Weeks,436525
ENG,ENGLAND,ENGLAND,IMD,5,18 To 52 Weeks,268930
ENG,ENGLAND,ENGLAND,IMD,5,Over 52 Weeks,20480
ENG,ENGLAND,ENGLAND,IMD,5,Total,726655
ENG,ENGLAND,ENGLAND,IMD,6,Unknown Clock Start,640
ENG,ENGLAND,ENGLAND,IMD,6,01 To 18 Weeks,440185
ENG,ENGLAND,ENGLAND,IMD,6,18 To 52 Weeks,268310
ENG,ENGLAND,ENGLAND,IMD,6,Over 52 Weeks,19790
ENG,ENGLAND,ENGLAND,IMD,6,Total,728925
ENG,ENGLAND,ENGLAND,IMD,7,Unknown Clock Start,830
ENG,ENGLAND,ENGLAND,IMD,7,01 To 18 Weeks,427410
ENG,ENGLAND,ENGLAND,IMD,7,18 To 52 Weeks,257705
ENG,ENGLAND,ENGLAND,IMD,7,Over 52 Weeks,18695
ENG,ENGLAND,ENGLAND,IMD,7,Total,704640
ENG,ENGLAND,ENGLAND,IMD,8,Unknown Clock Start,695
ENG,ENGLAND,ENGLAND,IMD,8,01 To 18 Weeks,423465
