Code,Name,Geography,Metric,Category,Waiting Bands,Count
ENG,ENGLAND,INDEPENDENT SECTOR,Age,19-64 Years,18 To 52 Weeks,53875
ENG,ENGLAND,INDEPENDENT SECTOR,Age,19-64 Years,Over 52 Weeks,1630
ENG,ENGLAND,INDEPENDENT SECTOR,Age,19-64 Years,Total,193285
ENG,ENGLAND,INDEPENDENT SECTOR,Age,Over 65 Years,Unknown Clock Start,1120
ENG,ENGLAND,INDEPENDENT SECTOR,Age,Over 65 Years,01 To 18 Weeks,123315
ENG,ENGLAND,INDEPENDENT SECTOR,Age,Over 65 Years,18 To 52 Weeks,35775
ENG,ENGLAND,INDEPENDENT SECTOR,Age,Over 65 Years,Over 52 Weeks,790
ENG,ENGLAND,INDEPENDENT SECTOR,Age,Over 65 Years,Total,161000
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,99: Not known,Unknown Clock Start,10
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,99: Not known,01 To 18 Weeks,3815
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,99: Not known,18 To 52 Weeks,710
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,99: Not known,Over 52 Weeks,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,99: Not known,Total,4545
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,A: British,Unknown Clock Start,2615
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,A: British,01 To 18 Weeks,197385
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,A: British,18 To 52 Weeks,70085
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,A: British,Over 52 Weeks,1810
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,A: British,Total,271895
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,B: Irish,Unknown Clock Start,15
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,B: Irish,01 To 18 Weeks,1465
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,B: Irish,18 To 52 Weeks,425
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,B: Irish,Over 52 Weeks,15
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,B: Irish,Total,1925
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,C: Any other white background,Unknown Clock Start,120
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,C: Any other white background,01 To 18 Weeks,13455
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,C: Any other white background,18 To 52 Weeks,4675
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,C: Any other white background,Over 52 Weeks,140
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,C: Any other white background,Total,18385
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,D: White and Black Caribbean,Unknown Clock Start,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,655
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,300
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,D: White and Black Caribbean,Total,960
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,E: White and Black African,Unknown Clock Start,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,E: White and Black African,01 To 18 Weeks,325
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,E: White and Black African,18 To 52 Weeks,170
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,E: White and Black African,Over 52 Weeks,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,E: White and Black African,Total,500
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,F: White and Asian,Unknown Clock Start,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,F: White and Asian,01 To 18 Weeks,535
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,F: White and Asian,18 To 52 Weeks,230
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,F: White and Asian,Over 52 Weeks,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,F: White and Asian,Total,765
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,G: Any other mixed background,Unknown Clock Start,10
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,G: Any other mixed background,01 To 18 Weeks,1300
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,G: Any other mixed background,18 To 52 Weeks,515
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,G: Any other mixed background,Over 52 Weeks,20
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,G: Any other mixed background,Total,1845
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,H: Indian,Unknown Clock Start,20
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,H: Indian,01 To 18 Weeks,5880
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,H: Indian,18 To 52 Weeks,2135
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,H: Indian,Over 52 Weeks,70
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,H: Indian,Total,8105
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,J: Pakistani,Unknown Clock Start,10
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,J: Pakistani,01 To 18 Weeks,5120
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,J: Pakistani,18 To 52 Weeks,2095
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,J: Pakistani,Over 52 Weeks,45
